date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:25:45	1159/1159	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-5ff4583c-d84f12f81887d021;gz%22	https://www.tarjetas.cool/robots.txt		(from )
15:25:45	8173/8173	---M-Z	200	added ('OK')	text/html	etag:%221fed-64a05c09-c96f3c3127bb766b;gz%22	https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/modelos/cumple/seleccion_argentina/index.html	(from )
15:25:45	163873/163873	---M-Z	200	added ('OK')	text/css	etag:W/%2228021-7Ba9Gb9K6bwuIzasQJpQO7varK0%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	C:/Mis%20lugares%20Web/Test2/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/css/bootstrap.min.css	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:45	88585/88585	---M-Z	200	added ('OK')	text/css	etag:W/%2215a09-bhLh682YP4SOXCgKt3ZJ7rROdLw%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	C:/Mis%20lugares%20Web/Test2/cdn.jsdelivr.net/npm/bootstrap-icons@1.9.1/font/bootstrap-icons.css	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:46	10662/10662	---M-Z	200	added ('OK')	text/css	etag:%2229a6-635de252-94b54aa1e95f2b42;gz%22	https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/css/styles.css?v=6	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/modelos/cumple/seleccion_argentina/css/styles1bce.css	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:46	3543/3543	---M--	200	added ('OK')	image/png	etag:%22dd7-62f13ac5-7305083aa904d02b;;;%22	https://www.tarjetas.cool/favicon-32x32.png	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/favicon-32x32.png	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:46	3073/3073	---M--	200	added ('OK')	image/png	etag:%22c01-62f13ac5-91bc429e33d6d6cd;;;%22	https://www.tarjetas.cool/favicon-16x16.png	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/favicon-16x16.png	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:47	126641/126641	---M--	200	added ('OK')	image/gif	etag:%221eeb1-635de253-b934f8a14b35406b;;;%22	https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/logo_animado.gif	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/logo_animado.gif	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:48	15739/15739	---M--	200	added ('OK')	image/jpeg	etag:%223d7b-635de253-d8e370f62b12e3f3;;;%22	https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/foto1.jpg	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/foto1.jpg	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:48	879659/879659	---M--	200	added ('OK')	video/mp4	etag:%22d6c2b-635de254-59e8588111e85a9c;;;%22	https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/qatarvideo.mp4	C:/Mis%20lugares%20Web/Test2/www.tarjetas.cool/modelos/cumple/seleccion_argentina/img/qatarvideo.mp4	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
15:25:48	78129/78129	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213131-qF5oFiTJGhBqUUwx6s+A3oF7LMM%22	https://cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	C:/Mis%20lugares%20Web/Test2/cdn.jsdelivr.net/npm/bootstrap@5.1.3/dist/js/bootstrap.bundle.min.js	(from https://www.tarjetas.cool/modelos/cumple/seleccion_argentina/)
